states,values,action_probs,goals
"[[0, 0]]",0.7050715999227644,"[0.00736525 0.01104787 0.         0.         0.00267827 0.
 0.00468698 0.00703047 0.         0.00669568 0.96049548 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 2]]",0.00957173770591948,"[0.28571424 0.         0.         0.         0.14285712 0.
 0.         0.         0.         0.         0.         0.14285712
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.42857137 0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 2], [4, 2]]",0.011898446466839121,"[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.9999995 0.        0.        0.        0.        0.
 0.        0.        0.       ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 0]]",0.08319423790898302,"[0.09523809 0.04761905 0.         0.         0.5238095  0.
 0.14285714 0.04761905 0.         0.09523809 0.04761905 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 6]]",0.730038907812055,"[0.00174338 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.03033473 0.
 0.         0.         0.         0.         0.         0.88214784
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.08577406
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 2], [1, 2]]",0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 6], [4, 6]]",0.7747954605955643,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 1. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [4, 0]]",0.19238742875026776,"[0.19999999 0.         0.         0.         0.         0.
 0.         0.1        0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.05       0.
 0.         0.         0.54999997 0.         0.         0.1
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 2], [0, 0]]",0.012117142779116529,"[0.       0.       0.       0.       0.       0.       0.       0.999999
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.      ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [1, 0]]",0.16479364943548555,"[0.03125    0.15625    0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.0625
 0.         0.0625     0.         0.03125    0.         0.65624998
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
